Data,Dzień,Wykryci zakażeni,Testy,Hospitalizowani,Zmarli,Kwarantanna,Nadzór,"Testy, wartości przybliżone",Kwarantanna po powrocie do kraju,Wydarzenia,Wyzdrowiali
3/1/20,,,,,,,,,,,
3/2/20,,,,,,,,,,,
3/3/20,-1.0,0.0,559.0,68.0,,316.0,4459.0,,,,
3/4/20,0.0,1.0,584.0,65.0,,349.0,4540.0,,,,
3/5/20,1.0,1.0,676.0,92.0,,490.0,5647.0,,,,
3/6/20,2.0,5.0,855.0,128.0,,1299.0,6184.0,,,,
3/7/20,3.0,6.0,,146.0,,1548.0,6409.0,,,,
3/8/20,4.0,11.0,1154.0,168.0,,932.0,7122.0,,,,
3/9/20,5.0,17.0,1384.0,176.0,,1014.0,7110.0,,,,
3/10/20,6.0,22.0,1630.0,220.0,,1055.0,9366.0,,,,
3/11/20,7.0,31.0,2024.0,317.0,,1193.0,11524.0,,,,
3/12/20,8.0,51.0,2234.0,384.0,,2736.0,14841.0,,,Zamknięcie szkół i instytucji kulturalnych,
3/13/20,9.0,68.0,2889.0,521.0,2.0,3151.0,17784.0,,,,
3/14/20,10.0,103.0,4414.0,526.0,3.0,4413.0,20340.0,,,,
3/15/20,11.0,125.0,5493.0,768.0,3.0,7535.0,25816.0,,,,
3/16/20,12.0,177.0,,734.0,4.0,10050.0,30129.0,7500.0,,,
3/17/20,13.0,238.0,7899.0,833.0,5.0,14531.0,35853.0,,22979.0,,
3/18/20,14.0,287.0,9515.0,923.0,5.0,21993.0,40110.0,,35192.0,,
3/19/20,15.0,355.0,11196.0,871.0,5.0,28440.0,48660.0,,48324.0,,
3/20/20,16.0,425.0,13072.0,898.0,5.0,47115.0,53117.0,,62120.0,Ogłoszenie stanu epidemii,
3/21/20,17.0,536.0,15084.0,1047.0,5.0,54814.0,56623.0,,74106.0,,
3/22/20,18.0,634.0,17607.0,1084.0,7.0,58836.0,48632.0,,80348.0,,
3/23/20,19.0,749.0,20127.0,1138.0,8.0,55301.0,51142.0,,95445.0,,
3/24/20,20.0,901.0,22898.0,1479.0,10.0,62511.0,53426.0,,104529.0,Dalsze restrykcje (zgromadzenia max 2 os.),
3/25/20,21.0,1031.0,26244.0,1615.0,14.0,70528.0,56930.0,,138680.0,,
3/26/20,22.0,1221.0,29564.0,1606.0,16.0,83908.0,59081.0,,150474.0,,
3/27/20,23.0,1389.0,34067.0,1696.0,16.0,94297.0,58306.0,,161859.0,,
3/28/20,24.0,1638.0,38674.0,1719.0,18.0,97413.0,56585.0,,167890.0,,
3/29/20,25.0,1862.0,42783.0,1879.0,22.0,100215.0,52612.0,,169092.0,,
3/30/20,26.0,2055.0,46607.0,1900.0,31.0,106525.0,52370.0,,163789.0,,
3/31/20,27.0,2311.0,51419.0,1924.0,33.0,171994.0,50804.0,,,"Kolejne restrykcje (zakaz wychodzenia młodzieży, 2 m odstępu, zamknięcie salonów fryzjerskich etc.)",
4/1/20,28.0,2554.0,55801.0,,43.0,,,,,,
4/2/20,29.0,2946.0,61178.0,2317.0,57.0,183095.0,48039.0,,,,
4/3/20,30.0,3383.0,66938.0,2158.0,71.0,174997.0,44491.0,,,,
4/4/20,31.0,3627.0,72901.0,2303.0,79.0,160587.0,41146.0,,,,116.0
4/5/20,32.0,4102.0,80757.0,2434.0,94.0,131888.0,38157.0,,,,134.0
4/6/20,33.0,4413.0,85467.0,2444.0,107.0,143256.0,37295.0,,,,162.0
4/7/20,34.0,4666.0,92215.0,2476.0,129.0,148130.0,36391.0,,,,191.0
4/8/20,35.0,5205.0,99284.0,2425.0,159.0,153390.0,33273.0,,,,222.0
4/9/20,36.0,5575.0,107597.0,2473.0,174.0,152898.0,33989.0,,,,284.0
4/10/20,37.0,5955.0,118295.0,2409.0,181.0,158663.0,33879.0,,,,318.0
4/11/20,38.0,6356.0,129560.0,2426.0,208.0,166973.0,31370.0,,,,375.0
4/12/20,39.0,6674.0,138007.0,2481.0,232.0,162974.0,30982.0,,,,439.0
4/13/20,40.0,6934.0,143630.0,2510.0,245.0,151548.0,29571.0,,,,487.0
4/14/20,41.0,7202.0,148321.0,2471.0,263.0,144875.0,28665.0,,,,618.0
4/15/20,42.0,7582.0,156493.0,2499.0,286.0,145875.0,28084.0,,,,668.0
4/16/20,43.0,,,,,,,,,,
4/17/20,44.0,,,,,,,,,,
4/18/20,45.0,,,,,,,,,,
4/19/20,46.0,,,,,,,,,,
4/20/20,47.0,,,,,,,,,,
4/21/20,48.0,,,,,,,,,,
4/22/20,49.0,,,,,,,,,,
4/23/20,50.0,,,,,,,,,,
4/24/20,51.0,,,,,,,,,,
4/25/20,52.0,,,,,,,,,,
4/26/20,53.0,,,,,,,,,,
4/27/20,54.0,,,,,,,,,,
4/28/20,55.0,,,,,,,,,,
4/29/20,56.0,,,,,,,,,,
4/30/20,57.0,,,,,,,,,,
5/1/20,58.0,,,,,,,,,,
